AUTHOR,BORN-DIED,TITLE,DATE,TECHNIQUE,LOCATION,URL,FORM,TYPE,SCHOOL,TIMEFRAME
"PONTORMO, Jacopo","(b. 1494, Pontormo, d. 1557, Firenze)",Leda and the Swan,1512-13,"Oil on wood, 55 x 40 cm","Galleria degli Uffizi, Florence",https://www.wga.hu/html/p/pontormo/1/00leda.html,painting,mythological,Italian,1501-1550
"PONTORMO, Jacopo","(b. 1494, Pontormo, d. 1557, Firenze)",Visitation,1514-16,"Fresco, 392 x 337 cm","Santissima Annunziata, Florence",https://www.wga.hu/html/p/pontormo/1/01visit.html,painting,religious,Italian,1501-1550
"PONTORMO, Jacopo","(b. 1494, Pontormo, d. 1557, Firenze)",Visitation (detail),1514-16,Fresco,"Santissima Annunziata, Florence",https://www.wga.hu/html/p/pontormo/1/01visit1.html,painting,religious,Italian,1501-1550
"PONTORMO, Jacopo","(b. 1494, Pontormo, d. 1557, Firenze)",Sacra Conversazione,1514,"Fresco, 223 x 196 cm","Santissima Annunziata, Florence",https://www.wga.hu/html/p/pontormo/1/02sacra.html,painting,religious,Italian,1501-1550
"PONTORMO, Jacopo","(b. 1494, Pontormo, d. 1557, Firenze)",Joseph Being Sold to Potiphar,1515-18,"Oil on wood, 58 x 50 cm","National Gallery, London",https://www.wga.hu/html/p/pontormo/1/03josep1.html,painting,religious,Italian,1501-1550
"PONTORMO, Jacopo","(b. 1494, Pontormo, d. 1557, Firenze)",Punishment of the Baker,1515-18,"Oil on wood, 58 x 50 cm","National Gallery, London",https://www.wga.hu/html/p/pontormo/1/03josep2.html,painting,religious,Italian,1501-1550
"PONTORMO, Jacopo","(b. 1494, Pontormo, d. 1557, Firenze)",Joseph in Egypt,1515-18,"Oil on wood, 96 x 109 cm","National Gallery, London",https://www.wga.hu/html/p/pontormo/1/03josep3.html,painting,religious,Italian,1501-1550
"PONTORMO, Jacopo","(b. 1494, Pontormo, d. 1557, Firenze)",Joseph in Egypt (detail),1515-18,Oil on wood,"National Gallery, London",https://www.wga.hu/html/p/pontormo/1/03josep4.html,painting,religious,Italian,1501-1550
"PONTORMO, Jacopo","(b. 1494, Pontormo, d. 1557, Firenze)",Lady with a Basket of Spindles,c. 1516,"Oil on wood, 76 x 54 cm","Galleria degli Uffizi, Florence",https://www.wga.hu/html/p/pontormo/1/04lady.html,painting,portrait,Italian,1501-1550
"PONTORMO, Jacopo","(b. 1494, Pontormo, d. 1557, Firenze)",Madonna and Child with Saints,1518,"Oil on wood, 214 x 185 cm","San Michele Visdomini, Florence",https://www.wga.hu/html/p/pontormo/1/05visdom.html,painting,religious,Italian,1501-1550
"PONTORMO, Jacopo","(b. 1494, Pontormo, d. 1557, Firenze)",Portrait of an Engraver of Semi-Precious Stones,1517-18,"Oil on wood, 70 x 53 cm","Mus_e du Louvre, Paris",https://www.wga.hu/html/p/pontormo/1/061engra.html,painting,portrait,Italian,1501-1550
