AUTHOR,BORN-DIED,TITLE,DATE,TECHNIQUE,LOCATION,URL,FORM,TYPE,SCHOOL,TIMEFRAME
"AAGAARD, Carl Frederik","(b. 1833, Odense, d. 1895, K_benhavn)",Deer beside a Lake,1888,"Oil on canvas, 53 x 82 cm",Private collection,https://www.wga.hu/html/a/aagaard/deerlake.html,painting,landscape,Danish,1851-1900
"AAGAARD, Carl Frederik","(b. 1833, Odense, d. 1895, K_benhavn)",The Rose Garden,1877,"Oil on canvas, 98 x 80 cm",Private collection,https://www.wga.hu/html/a/aagaard/rosegard.html,painting,landscape,Danish,1851-1900
"ABBATE, Niccol_ dell'","(b. 1509, Modena, d. 1571, Fontainebleau)",Stag Hunt,1550-52,"Oil on canvas, 116 x 159 cm","Galleria Borghese, Rome",https://www.wga.hu/html/a/abbate/deerhunt.html,painting,landscape,Italian,1501-1550
"ABBATI, Giuseppe","(b. 1836, Napoli, d. 1868, Firenze)",Landscape at Castiglioncello,1863,"Oil on panel, 10 x 30 cm","Galleria dell'Arte Moderna, Palazzo Pitti, Florence",https://www.wga.hu/html/a/abbati/abbati1.html,painting,landscape,Italian,1851-1900
"ABBATI, Giuseppe","(b. 1836, Napoli, d. 1868, Firenze)",Country Road with Cypresses,c. 1860,"Oil on canvas, 28 x 37 cm","Galleria dell'Arte Moderna, Palazzo Pitti, Florence",https://www.wga.hu/html/a/abbati/abbati2.html,painting,landscape,Italian,1851-1900
"ABBATI, Giuseppe","(b. 1836, Napoli, d. 1868, Firenze)",Cloister,1861-62,"Oil on cardboard, 19 x 25 cm","Galleria dell'Arte Moderna, Palazzo Pitti, Florence",https://www.wga.hu/html/a/abbati/abbati3.html,painting,landscape,Italian,1851-1900
"ACHENBACH, Oswald","(b. 1827, DÅsseldorf, d. 1905, DÅsseldorf)",Fireworks in Naples,1875,"Oil on canvas, 66 x 102 cm","The Hermitage, St. Petersburg",https://www.wga.hu/html/a/achenbac/firework.html,painting,landscape,German,1851-1900
"AIVAZOVSKY, Ivan Konstantinovich","(b. 1817, Feodosiya, d. 1900, Feodosiya)",The Ninth Wave,1850,"Oil on canvas, 221 _ 332 cm","State Russian Museum, St. Petersburg",https://www.wga.hu/html/a/aivazovs/9th_wave.html,painting,landscape,Russian,1851-1900
"AIVAZOVSKY, Ivan Konstantinovich","(b. 1817, Feodosiya, d. 1900, Feodosiya)",A Strong Wind,1856,"Pencil and gouache on paper, 230 x 327 mm",Private collection,https://www.wga.hu/html/a/aivazovs/astrong.html,graphics,landscape,Russian,1851-1900
"AIVAZOVSKY, Ivan Konstantinovich","(b. 1817, Feodosiya, d. 1900, Feodosiya)",Shipwreck,1856,"Pencil and gouache on paper, 230 x 327 mm",Private collection,https://www.wga.hu/html/a/aivazovs/shipwrec.html,graphics,landscape,Russian,1851-1900
"AIVAZOVSKY, Ivan Konstantinovich","(b. 1817, Feodosiya, d. 1900, Feodosiya)",Ship in the Stormy Sea,1887,"Oil on canvas, 63 x 97 cm","The Hermitage, St. Petersburg",https://www.wga.hu/html/a/aivazovs/stormy.html,painting,landscape,Russian,1851-1900
"ALBOTTO, Francesco","(b. 1721, Venezia, d. 1757, Venezia)",View of Campo Santi Giovanni e Paolo,c. 1745,"Oil on canvas, 61 x 97 cm","Museo Nazionale di Capodimonte, Naples",https://www.wga.hu/html/a/albotto/campo.html,painting,landscape,Italian,1701-1750
"ALBOTTO, Francesco","(b. 1721, Venezia, d. 1757, Venezia)",San Giuseppe di Castello,c. 1745,"Oil on canvas, 59,5 x 97 cm",Private collection,https://www.wga.hu/html/a/albotto/giuseppe.html,painting,landscape,Italian,1701-1750
"ALEKSEYEV, Fyodor Yakovlevich","(b. ca. 1753, St. Petersburg, d. 1824, St. Petersburg)",View of the Resurrection Gate and Neglinny Bridge from Tverskaya Street,1800-10,"Watercolour, Indian ink, gouache and lead pencil, 545 x 315 mm","The Hermitage, St. Petersburg",https://www.wga.hu/html/a/alekseye/view_mos.html,graphics,landscape,Russian,1751-1800
"ALEKSEYEV, Fyodor Yakovlevich","(b. ca. 1753, St. Petersburg, d. 1824, St. Petersburg)",View of St. Petersburg,c. 1795,"Oil on canvas, 62 x 101 cm","State Tretyakov Gallery, Moscow",https://www.wga.hu/html/a/alekseye/view_stp.html,painting,landscape,Russian,1751-1800
"ALLEGRAIN, Etienne","(b. 1644, Paris, d. 1736, Paris)",Landscape with the Finding of Moses,-,"Oil on canvas, 88 x 115 cm","The Hermitage, St. Petersburg",https://www.wga.hu/html/a/allegrai/etienne/landmose.html,painting,landscape,French,1651-1700
"ALLEGRAIN, Etienne","(b. 1644, Paris, d. 1736, Paris)",River Landscape,-,Oil on canvas : 118 x 92 cm,"Mus_e National du Chüteau, Versailles",https://www.wga.hu/html/a/allegrai/etienne/riverla1.html,painting,landscape,French,1651-1700
